Country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Antigua and Barbuda,61.7827317073,62.1954146341,62.5985365854,62.9925853659,63.3785853659,63.7560731707,64.1255609756,64.4880731707,64.8421219512,65.189195122,65.5293414634,65.8620243902,66.1882682927,66.508,66.8217804878,67.1300731707,67.4333902439,67.7307560976,68.0226341463,68.3095365854,68.5919756098,68.8689512195,69.1409268293,69.4079268293,69.6704634146,69.9285121951,70.1825609756,70.4326341463,70.6797317073,70.9228292683,71.1629512195,71.4005853659,71.6347073171,71.8658536585,72.093,72.3176829268,72.5388536585,72.7575609756,72.9737804878,73.1860243902,73.3972926829,73.607097561,73.8154390244,74.0217804878,74.2261463415,74.4254390244,74.6191463415,74.8047317073,74.982195122,75.1515365854,75.3132926829,75.4695365854,75.621804878,75.7736585366,75.924097561,76.0756341463
Australia,70.8170731707,70.9731707317,70.9424390244,70.9117073171,70.8809756098,70.8502439024,70.8195121951,70.8692682927,70.9190243902,70.9687804878,71.0185365854,71.0682926829,71.4575609756,71.8468292683,72.236097561,72.6253658537,73.0146341463,73.3443902439,73.6741463415,74.003902439,74.3336585366,74.6634146341,74.9048780488,75.1463414634,75.387804878,75.6292682927,75.8707317073,76.1517073171,76.4326829268,76.7136585366,76.9946341463,77.2756097561,77.3780487805,77.8780487805,77.8780487805,77.8292682927,78.0780487805,78.4804878049,78.6317073171,78.9317073171,79.2341463415,79.6341463415,79.9365853659,80.2390243902,80.4902439024,80.8414634146,81.0414634146,81.2926829268,81.3951219512,81.543902439,81.6951219512,81.8951219512,82.0463414634,82.1487804878,82.3,82.4512195122
Austria,68.5856097561,69.5773170732,69.3095121951,69.4436585366,69.9219512195,69.722195122,70.0458536585,69.917804878,70.0575609756,69.8331707317,69.9146341463,70.1146341463,70.4634146341,71.0146341463,71.012195122,71.1146341463,71.5658536585,71.9146341463,72.012195122,72.312195122,72.4634146341,72.812195122,72.9609756098,73.012195122,73.612195122,73.8146341463,74.3170731707,74.7682926829,75.2170731707,75.2658536585,75.5682926829,75.6170731707,75.8170731707,76.0682926829,76.4195121951,76.6682926829,76.8707317073,77.3195121951,77.6707317073,77.8756097561,78.1268292683,78.5756097561,78.6780487805,78.6317073171,79.1804878049,79.3317073171,79.8804878049,80.1804878049,80.4317073171,80.3317073171,80.5804878049,80.9829268293,80.9365853659,81.1365853659,81.4902439024,81.843902439
Azerbaijan,60.7808536585,60.9963902439,61.2029268293,61.4074878049,61.6125853659,61.8222195122,62.0363902439,62.250097561,62.4578292683,62.6575853659,62.8433902439,63.009195122,63.1540243902,63.2783658537,63.3822195122,63.469097561,63.5425121951,63.6114634146,63.6799512195,63.7559512195,63.8480487805,63.9677804878,64.1126341463,64.2780243902,64.454804878,64.6170731707,64.7338780488,64.7895365854,64.7826585366,64.7245121951,64.6472195122,64.5945853659,64.605804878,64.7062439024,64.901097561,65.1747317073,65.4943658537,65.8212682927,66.1277560976,66.4098536585,66.6815853659,66.9724878049,67.3106097561,67.7125609756,68.1734390244,68.677097561,69.1990487805,69.7062195122,70.171,70.5784878049,70.9186097561,71.1896341463,71.4056829268,71.5814146341,71.7247560976,71.845195122
Burundi,41.2360487805,41.5454634146,41.8603902439,42.177804878,42.4922195122,42.7901463415,43.0550731707,43.2800243902,43.4679756098,43.6274390244,43.7819268293,43.9599268293,44.1849512195,44.4714634146,44.8184634146,45.218902439,45.6532195122,46.0924146341,46.5129756098,46.9024390244,47.2623170732,47.6046829268,47.939097561,48.2631219512,48.5622926829,48.7891707317,48.8847560976,48.8280487805,48.6294878049,48.3250243902,48.0001219512,47.7626829268,47.6986585366,47.8544878049,48.2346829268,48.797195122,49.4600487805,50.118804878,50.6925121951,51.150195122,51.4879268293,51.7287560976,51.933195122,52.1522195122,52.403804878,52.7053658537,53.0637804878,53.4664634146,53.9018780488,54.3620243902,54.837,55.3144146341,55.7828780488,56.2345121951,56.6633170732,57.0693414634
Belgium,69.7019512195,70.5209756098,70.2195121951,70.0514634146,70.7551219512,70.6253658537,70.7063414634,71.0129268293,70.6931707317,70.7648780488,70.9719512195,71.0604878049,71.4051219512,71.6353658537,71.9858536585,71.9712195122,72.1197560976,72.773902439,72.6980487805,73.1936585366,73.2070731707,73.6217073171,73.8880487805,73.8690243902,74.4048780488,74.5202439024,74.7317073171,75.3658536585,75.5658536585,75.6326829268,76.0519512195,76.192195122,76.3512195122,76.3453658537,76.6917073171,76.8407317073,77.1873170732,77.3707317073,77.4731707317,77.6195121951,77.7219512195,77.9731707317,78.0756097561,78.1292682927,78.8780487805,78.9804878049,79.3804878049,79.7829268293,79.6804878049,79.9829268293,80.1829268293,80.5853658537,80.3853658537,80.587804878,81.287804878,81.287804878
Benin,37.2864146341,37.7388536585,38.1937073171,38.653902439,39.1223902439,39.5995365854,40.0862195122,40.5804146341,41.0821463415,41.5899512195,42.1074634146,42.6372439024,43.179,43.7298536585,44.2844634146,44.828902439,45.3457073171,45.8283414634,46.2793414634,46.7057804878,47.1297317073,47.5793170732,48.0775365854,48.6379268293,49.2614390244,49.9516097561,50.7039512195,51.4908536585,52.2781463415,53.0346097561,53.7139512195,54.2678536585,54.6781707317,54.945804878,55.0797560976,55.1101219512,55.0801219512,55.0455853659,55.0547073171,55.1355853659,55.3107560976,55.5891707317,55.9486585366,56.362097561,56.8149268293,57.2856097561,57.7491219512,58.1889756098,58.5907073171,58.946804878,59.2592682927,59.5366097561,59.7978536585,60.0565121951,60.3181219512,60.5846829268
Burkina Faso,34.477902439,34.9386341463,35.4058780488,35.8796585366,36.3589512195,36.8377560976,37.3090487805,37.7683170732,38.2165365854,38.6577317073,39.0968780488,39.5385121951,39.9951707317,40.4803414634,41.0065853659,41.6063902439,42.3132926829,43.1302439024,44.0397804878,45.0133902439,45.9975609756,46.9283170732,47.7496341463,48.422,48.9243658537,49.2512195122,49.4175365854,49.4722682927,49.462902439,49.4198780488,49.3656097561,49.3164634146,49.2779512195,49.2596585366,49.2777073171,49.3403170732,49.450804878,49.6058780488,49.8066585366,50.0606585366,50.3828536585,50.7886097561,51.2816585366,51.8572682927,52.5072439024,53.2184390244,53.9752439024,54.7556585366,55.5357073171,56.2948780488,57.0146829268,57.6811219512,58.2958292683,58.8603658537,59.3752926829,59.8446585366
Bangladesh,45.8298292683,46.4579268293,47.0834634146,47.6914390244,48.2533902439,48.6864634146,48.8918292683,48.8340487805,48.5331219512,48.0484634146,47.5228536585,47.1370487805,47.0332926829,47.2934878049,47.9266341463,48.865804878,49.9812439024,51.0976829268,52.0803414634,52.8772926829,53.4770487805,53.9170243902,54.2925609756,54.6795609756,55.1044390244,55.5806585366,56.105195122,56.6590731707,57.2258780488,57.8061463415,58.4085609756,59.0402682927,59.7073414634,60.4072926829,61.1320243902,61.8723658537,62.6125609756,63.3388780488,64.038195122,64.7024146341,65.3251219512,65.9044634146,66.4496585366,66.9673658537,67.4626097561,67.9412926829,68.4102682927,68.873902439,69.3336829268,69.7911707317,70.2420487805,70.6805609756,71.100902439,71.4977560976,71.8716585366,72.2216097561
Bulgaria,69.2475609756,70.1956097561,69.4919512195,70.3092682927,71.1212195122,71.293902439,71.2234146341,70.413902439,71.2251219512,70.43,71.2563414634,70.8736585366,70.8995121951,71.342195122,71.2080487805,71.0497560976,71.3948780488,70.816097561,71.1846341463,71.3082926829,71.1575609756,71.5719512195,71.186097561,71.3863414634,71.4997560976,71.2280487805,71.7307317073,71.5268292683,71.6043902439,71.7224390244,71.6414634146,71.5609756098,71.4943902439,71.3468292683,71.2087804878,71.0534146341,70.8973170732,70.3512195122,71.0609756098,71.412195122,71.6634146341,71.7682926829,71.8658536585,72.0658536585,72.5634146341,72.5609756098,72.612195122,72.6634146341,72.9634146341,73.412195122,73.512195122,74.1634146341,74.3146341463,74.8609756098,74.4658536585,74.4658536585
Bahrain,52.0924390244,53.4605609756,54.8192926829,56.147097561,57.4258780488,58.6400731707,59.7826097561,60.858,61.8697317073,62.8172926829,63.699195122,64.5179756098,65.2777073171,65.9864146341,66.6466097561,67.2638292683,67.8400487805,68.3777804878,68.8789756098,69.3451219512,69.777195122,70.1726585366,70.5315121951,70.8547073171,71.1467804878,71.4127317073,71.6565853659,71.8833658537,72.099097561,72.308804878,72.5159756098,72.7226097561,72.927195122,73.1292439024,73.3302439024,73.5307317073,73.7322439024,73.9342926829,74.1343658537,74.3329756098,74.5280243902,74.7179756098,74.9007804878,75.076902439,75.2453658537,75.4071707317,75.5633902439,75.7145609756,75.8632682927,76.0100243902,76.1553170732,76.2996341463,76.4429512195,76.5852195122,76.7254634146,76.865195122
"Bahamas, The",62.7290487805,63.0725121951,63.4080243902,63.7370487805,64.059097561,64.3746829268,64.6837804878,64.9873902439,65.2850243902,65.5766829268,65.8638536585,66.1455609756,66.4222682927,66.693,66.9587560976,67.2200243902,67.4763170732,67.7281219512,67.9749512195,68.2187804878,68.4586097561,68.6954146341,68.9296829268,69.1604634146,69.3872439024,69.6106097561,69.829097561,70.0427804878,70.2496585366,70.4477804878,70.6306585366,70.791804878,70.9296341463,71.0481463415,71.154804878,71.2625609756,71.3904390244,71.5498780488,71.7478780488,71.9843658537,72.2542926829,72.545097561,72.8412682927,73.1272926829,73.3946585366,73.6393658537,73.8594634146,74.0614634146,74.2509512195,74.4284146341,74.596902439,74.7579268293,74.9139756098,75.0665365854,75.2176341463,75.3687804878
Bosnia and Herzegovina,60.2707317073,60.9360487805,61.562902439,62.1582682927,62.730097561,63.2894146341,63.8432926829,64.3962682927,64.9498292683,65.5044878049,66.0621463415,66.6217317073,67.1756585366,67.7133902439,68.2269268293,68.7002682927,69.116902439,69.4729268293,69.7679512195,70.0075853659,70.2135853659,70.4177560976,70.6371707317,70.8786829268,71.1325609756,71.3520731707,71.4743658537,71.4634390244,71.3167804878,71.0637073171,70.7802926829,70.5693902439,70.5141463415,70.6652195122,71.026097561,71.5631707317,72.2068536585,72.8577560976,73.4373170732,73.9106341463,74.2622195122,74.5019268293,74.6755853659,74.8223658537,74.9559756098,75.0875365854,75.2229512195,75.3595121951,75.498,75.6414146341,75.7937317073,75.9534634146,76.1201463415,76.2903414634,76.4635609756,76.6402926829
Belarus,67.708097561,68.2126585366,68.6358292683,68.9920731707,69.2899268293,69.5374146341,69.7346097561,69.8816585366,69.9826341463,70.0451463415,70.0792439024,70.093,70.0924146341,70.0824390244,70.0680731707,70.0482682927,70.015902439,69.9674146341,69.9063170732,69.8416341463,69.8020243902,69.8191707317,69.9082195122,70.0646585366,70.2719268293,70.9926829268,71.5495121951,70.9902439024,71.3414634146,71.4829268293,70.8365853659,70.3780487805,70.0219512195,68.9707317073,68.7682926829,68.4609756098,68.512195122,68.4609756098,68.4073170732,67.9073170732,68.912195122,68.5073170732,68.056097561,68.5536585366,68.956097561,68.8512195122,69.4048780488,70.2073170732,70.456097561,70.4073170732,70.4048780488,70.5536585366,71.9658536585,72.4707317073,72.9707317073,73.6243902439
Belize,59.9613658537,60.5127804878,61.0743414634,61.6460487805,62.2248292683,62.8061219512,63.3853414634,63.9543902439,64.5077073171,65.039195122,65.5462682927,66.0263170732,66.480902439,66.912097561,67.324,67.7187560976,68.102097561,68.4781463415,68.8470243902,69.2087560976,69.5663658537,69.9197560976,70.2642682927,70.5892682927,70.8831707317,71.1313658537,71.3173414634,71.4305853659,71.4656097561,71.4184878049,71.2837317073,71.0544146341,70.7466097561,70.3823902439,69.9862926829,69.5887804878,69.219804878,68.9018536585,68.653902439,68.4895121951,68.4188780488,68.4441219512,68.5443658537,68.6971219512,68.8848292683,69.0853658537,69.2759756098,69.4434878049,69.5797073171,69.6835609756,69.7620243902,69.8301707317,69.9086585366,70.0130731707,70.1475121951,70.3109756098
Bermuda,,,,,,68.897804878,,,,,70.29,,,,,,,,,,72.3046341463,,,,,,,,,,,74.0295121951,,,,,,,,,77.8853658537,77.8853658537,78.087804878,78.3341463415,78.4853658537,78.6853658537,78.887804878,78.9341463415,79.2365853659,79.3884390244,79.2885365854,81.1526829268,81.677804878,80.5724390244,80.7973170732,81.012195122
Bolivia,42.1183170732,42.4334390244,42.7570487805,43.0891463415,43.4302195122,43.7797804878,44.137804878,44.504804878,44.8797560976,45.2636829268,45.6555609756,46.0553902439,46.4632195122,46.8785121951,47.3022926829,47.7330243902,48.1717317073,48.618902439,49.0730243902,49.5346097561,50.0041463415,50.4821463415,50.968097561,51.4615365854,51.9629268293,52.470804878,52.9856585366,53.5079756098,54.0352682927,54.5690487805,55.1072926829,55.6500243902,56.1982439024,56.7494390244,57.3051219512,57.8632926829,58.4249512195,58.9886097561,59.5542682927,60.1214146341,60.6900487805,61.259195122,61.8288292683,62.3989756098,62.9686341463,63.5397804878,64.1149512195,64.6936341463,65.2728292683,65.8465609756,66.405804878,66.9416097561,67.4469512195,67.9173658537,68.3503170732,68.749804878
Brazil,54.2130243902,54.7267560976,55.2447073171,55.7609268293,56.2715121951,56.7754390244,57.2732682927,57.7645121951,58.2462439024,58.7135609756,59.1555853659,59.5624634146,59.9292439024,60.2554390244,60.5445121951,60.8029268293,61.0410731707,61.2717804878,61.5069512195,61.7549756098,62.0202926829,62.3038780488,62.6022439024,62.9114634146,63.2320731707,63.5625609756,63.9004634146,64.2458292683,64.5982195122,64.961195122,65.3403170732,65.7426829268,66.171804878,66.6276829268,67.1068292683,67.6016829268,68.1047317073,68.6058536585,69.0950487805,69.5672195122,70.0163902439,70.4425609756,70.8492195122,71.2404390244,71.618195122,71.986,72.3493414634,72.7097317073,73.0686585366,73.423097561,73.7695609756,74.1005121951,74.4104390244,74.6963414634,74.9582439024,75.1991219512
Barbados,60.7380487805,61.215097561,61.6961707317,62.1822682927,62.6728780488,63.1610243902,63.6386341463,64.0987317073,64.5352682927,64.9457804878,65.3312439024,65.6951707317,66.0440731707,66.3824878049,66.7143902439,67.040804878,67.3622195122,67.6771463415,67.9845609756,68.2844634146,68.5773658537,68.8637804878,69.1436829268,69.4166097561,69.6840243902,69.9449512195,70.2013658537,70.4517804878,70.6966829268,70.9365853659,71.1719512195,71.4033414634,71.6312195122,71.854097561,72.0724878049,72.2843902439,72.488804878,72.6842195122,72.8706585366,73.0485853659,73.2195121951,73.3839268293,73.5463170732,73.7071707317,73.8680243902,74.0303414634,74.1936341463,74.3574146341,74.5217073171,74.6854878049,74.848804878,75.0101463415,75.1700243902,75.3279512195,75.483902439,75.637902439
Brunei Darussalam,62.5003658537,63.0489512195,63.575902439,64.076195122,64.5483170732,64.9922926829,65.4121219512,65.8143902439,66.2051463415,66.5884146341,66.965195122,67.3355121951,67.6988536585,68.0536829268,68.4005365854,68.7393902439,69.0712439024,69.396097561,69.7134390244,70.024804878,70.3296585366,70.6275121951,70.9193658537,71.2062195122,71.4860731707,71.7599268293,72.0287804878,72.2926341463,72.5504878049,72.8033414634,73.051195122,73.2950487805,73.5333902439,73.7672439024,73.997097561,74.2229512195,74.4443170732,74.6621707317,74.8755365854,75.0854146341,75.2947804878,75.5076585366,75.7230243902,75.9388780488,76.1492195122,76.3415853659,76.5004390244,76.6193414634,76.6957560976,76.7367073171,76.754195122,76.767195122,76.795195122,76.8512195122,76.9417317073,77.0667560976
Bhutan,34.5233902439,34.8867317073,35.2881707317,35.7322195122,36.217902439,36.7432195122,37.301097561,37.8794634146,38.4673170732,39.0556585366,39.6345121951,40.1939756098,40.7350731707,41.2628780488,41.7833414634,42.3094390244,42.8586341463,43.4438292683,44.0724878049,44.7465609756,45.4590243902,46.1984146341,46.9487560976,47.6965853659,48.4364146341,49.1682439024,49.8955853659,50.6264390244,51.3662926829,52.1156829268,52.8720731707,53.6304634146,54.3858780488,55.1387804878,55.8891707317,56.6475365854,57.4223414634,58.221097561,59.0447804878,59.888902439,60.7484390244,61.6144390244,62.4738780488,63.3112926829,64.1147073171,64.8696585366,65.5652195122,66.2003902439,66.7776585366,67.2994878049,67.7742926829,68.2109512195,68.624902439,69.0250731707,69.4179756098,69.8071219512
Botswana,50.5477317073,50.9076341463,51.2550243902,51.5934146341,51.9287560976,52.2725365854,52.6357073171,53.0282439024,53.4576341463,53.9278780488,54.4434634146,55.0084146341,55.6127317073,56.245,56.8947317073,57.5504878049,58.2043170732,58.8452682927,59.4602926829,60.0359268293,60.5656341463,61.0498780488,61.486097561,61.8647317073,62.1707073171,62.392902439,62.5261707317,62.5570243902,62.4640243902,62.2207804878,61.7615121951,61.0124390244,59.9622682927,58.6417317073,57.112902439,55.4549756098,53.7640243902,52.1594146341,50.7623902439,49.6682195122,48.9825853659,48.783195122,49.0437804878,49.7135609756,50.7463658537,52.0703170732,53.5936829268,55.2096097561,56.8194634146,58.3546585366,59.7809268293,61.098097561,62.3472439024,63.5506585366,64.6943902439,65.751097561
Central African Republic,36.4826341463,36.8957073171,37.3187804878,37.7603414634,38.2253658537,38.7258536585,39.2727560976,39.8685609756,40.5127560976,41.2023658537,41.9354146341,42.7089512195,43.5085121951,44.3161219512,45.1137560976,45.8833902439,46.6104390244,47.2843658537,47.8931707317,48.424902439,48.8701219512,49.2239268293,49.4924390244,49.6792195122,49.7848536585,49.8078536585,49.7457073171,49.6018780488,49.383804878,49.0984634146,48.7468780488,48.3285853659,47.8505609756,47.3287804878,46.7821707317,46.2271707317,45.6742439024,45.140804878,44.6497560976,44.2294634146,43.9142926829,43.7335853659,43.6963170732,43.8054878049,44.0576341463,44.4428292683,44.9432195122,45.5264634146,46.1631707317,46.8349268293,47.5327073171,48.2569756098,49.0121463415,49.7956585366,50.5910487805,51.3778536585
Canada,71.1331707317,71.346097561,71.3670731707,71.3807317073,71.7763414634,71.872195122,72.0043902439,72.207804878,72.3534146341,72.5014634146,72.7004878049,73.0292682927,72.933902439,73.1626829268,73.2375609756,73.5217073171,73.856097561,74.2156097561,74.5297560976,74.8663414634,75.0780487805,75.4785365854,75.6804878049,76.0363414634,76.3175609756,76.3034146341,76.44,76.7395121951,76.8092682927,77.0656097561,77.3770731707,77.5534146341,77.3207317073,77.6851219512,77.8619512195,77.9775609756,78.2304878049,78.4804878049,78.6624390244,78.8829268293,79.2365853659,79.487804878,79.5902439024,79.8390243902,80.1414634146,80.2926829268,80.2926829268,80.543902439,80.6951219512,80.9463414634,81.1975609756,81.4487804878,81.5835121951,81.7720487805,81.9530487805,82.1290243902
Central Europe and the Baltics,67.8213950013,68.2620441707,68.0067749983,68.6958697108,69.0522763699,69.2768215545,69.5270082284,69.2727354455,69.5360583547,69.2757976967,69.4469707974,69.4851289766,69.9253677297,70.0676966836,70.3058738692,70.1744054785,70.3191411063,70.2422408105,70.1478390004,70.2393548097,69.8902129226,70.3714695597,70.4551336661,70.3896109824,70.3490175774,70.3127569889,70.5649221255,70.611765316,70.8617183748,70.7319696488,70.6563673229,70.572607738,70.7323478672,70.8462295707,70.8695267646,71.0258932342,71.3354652443,71.5175893276,71.8981182659,72.184734648,72.7196903521,73.0979928642,73.2443135683,73.3838286852,73.7394039228,73.8400466809,74.0947247807,74.2523833325,74.5775390219,74.9318257001,75.2953487288,75.8884748834,75.9934886035,76.355162987,76.6854764214,77.0269071035
Switzerland,71.3134146341,71.6448780488,71.196097561,71.1875609756,72.077804878,72.2017073171,72.3356097561,72.6365853659,72.5902439024,72.6126829268,73.0202439024,73.1307317073,73.6443902439,73.9409756098,74.2870731707,74.6656097561,74.7853658537,75.2380487805,75.1873170732,75.466097561,75.4592682927,75.6931707317,76.033902439,76.0312195122,76.6085365854,76.7336585366,76.8990243902,77.1975609756,77.2265853659,77.4212195122,77.2424390244,77.5146341463,77.806097561,78.0853658537,78.35,78.4170731707,78.896097561,79.0795121951,79.3243902439,79.5804878049,79.6804878049,80.1804878049,80.3853658537,80.5365853659,81.087804878,81.2365853659,81.4902439024,81.7414634146,81.9926829268,82.043902439,82.2463414634,82.6951219512,82.6975609756,82.7975609756,83.1975609756,83.1975609756
Channel Islands,70.6397804878,70.7344146341,70.830097561,70.9333170732,71.0475853659,71.1719268293,71.2993414634,71.4218536585,71.5359756098,71.6407073171,71.7390487805,71.836,71.9380487805,72.0501707317,72.1773658537,72.3246097561,72.493902439,72.6852439024,72.8931219512,73.1160243902,73.3449512195,73.5739268293,73.7959268293,74.0064634146,74.2065365854,74.3981219512,74.5877317073,74.7818292683,74.9854634146,75.1985853659,75.4182439024,75.6369268293,75.8496829268,76.053,76.2473902439,76.4368536585,76.6278780488,76.827,77.0396585366,77.2683414634,77.514,77.7766341463,78.0516829268,78.3331707317,78.616097561,78.894,79.1619268293,79.4154146341,79.6524878049,79.8711463415,80.0713414634,80.2530243902,80.4221219512,80.5811219512,80.735,80.8852682927
